event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
us10003q5k,2015-10-21T06:04:49Z,2015,5.3,mww,24.16,37.3186,141.0771,G+030+0140,56,5.5,0,SEQ_us10003q5k,train
us10003qv5,2015-10-23T00:27:39Z,2015,5.6,mww,11.0,29.6377,70.326,G+020+0070,13,6.4,1,SEQ_us10003qv5,train
us10003re5,2015-10-26T09:09:42Z,2015,7.5,mww,231.0,36.5244,70.3676,G+030+0070,568,7.9,1,SEQ_us10003re5,train
us2000416s,2015-11-01T15:16:17Z,2015,5.8,mww,111.0,-23.2468,-68.4169,G-030-0070,16,4.1,0,SEQ_us2000416s,train
us2000417s,2015-11-01T21:09:40Z,2015,5.5,mww,7.0,22.7548,121.6561,G+020+0120,12,3.8,0,SEQ_us2000417s,train
us200041ty,2015-11-04T03:44:15Z,2015,6.5,mww,20.0,-8.3381,124.8754,G-010+0120,14,5.3,0,SEQ_us200041ty,train
us200041us,2015-11-04T06:14:32Z,2015,5.1,mb,10.0,-6.7492,105.0488,G-010+0100,18,3.8,0,SEQ_us200041us,train
us10003vgf,2015-11-07T06:58:30Z,2015,5.3,mww,15.12,8.4672,-71.3957,G+000-0080,21,5.5,0,SEQ_us10003vgf,train
us10003vgt,2015-11-07T07:31:43Z,2015,6.8,mww,46.0,-30.8796,-71.4519,G-040-0080,180,7.2,1,SEQ_us20003k7a,train
us10003vjs,2015-11-07T13:44:44Z,2015,5.0,mww,107.5,35.9067,139.9683,G+030+0130,97,5.3,0,SEQ_us10003vjs,train
us10003vl4,2015-11-07T19:40:13Z,2015,5.5,mww,37.0,16.4895,119.8464,G+010+0110,21,4.0,0,SEQ_us10003vl4,train
us10003vph,2015-11-08T09:34:57Z,2015,5.7,mww,69.0,0.7863,98.8905,G+000+0090,17,7.2,1,SEQ_us10003vph,train
us10003vw4,2015-11-09T04:46:27Z,2015,5.3,mww,101.0,-23.5755,-68.9458,G-030-0070,11,3.4,0,SEQ_us2000416s,train
us10003x8t,2015-11-11T01:54:38Z,2015,6.9,mww,12.0,-29.5067,-72.0068,G-030-0080,48,5.9,0,SEQ_us10003x8t,train
us10003x9g,2015-11-11T02:46:19Z,2015,6.9,mww,10.0,-29.5097,-72.0585,G-030-0080,23,5.0,0,SEQ_us10003x8t,train
us10003xd3,2015-11-11T11:45:23Z,2015,5.5,mww,83.02,-8.9416,110.2187,G-010+0110,22,4.8,0,SEQ_us10003xd3,development
us10003xni,2015-11-11T23:36:19Z,2015,5.8,mww,126.0,-7.2493,128.93,G-010+0120,10,3.4,0,SEQ_us10003xni,train
us10003xzv,2015-11-13T06:04:17Z,2015,5.6,mww,27.0,-29.8492,-64.4985,G-030-0070,53,4.6,0,SEQ_us10003xzv,train
us10003y71,2015-11-13T20:51:31Z,2015,6.7,mww,12.0,31.0009,128.8729,G+030+0120,24,4.8,0,SEQ_us10003y71,train
us10003ywp,2015-11-17T07:10:07Z,2015,6.5,mww,11.0,38.67,20.6,G+030+0020,25,7.2,1,SEQ_us10003ywp,train
us10003yzt,2015-11-17T17:29:36Z,2015,5.6,mww,18.0,40.3762,73.2038,G+040+0070,25,4.0,0,SEQ_us10003yzt,train
us10003zfw,2015-11-19T04:15:52Z,2015,5.0,mb,16.51,27.8525,85.6776,G+020+0080,20,4.6,0,SEQ_us10003zfw,train
us10004077,2015-11-21T23:05:30Z,2015,5.8,mww,27.0,-30.5754,-71.7676,G-040-0080,10,4.1,0,SEQ_us20003k7a,train
us100040aj,2015-11-22T08:11:15Z,2015,5.0,mb,49.01,16.8532,-96.412,G+010-0100,10,4.5,0,SEQ_us100040aj,train
us100040ct,2015-11-22T18:16:04Z,2015,5.7,mww,102.0,36.4344,71.4233,G+030+0070,93,5.3,0,SEQ_us10003re5,train
us100040dr,2015-11-22T20:38:31Z,2015,5.1,mwr,10.0,8.5217,-71.3869,G+000-0080,24,4.3,0,SEQ_us10003vgf,train
